Profundidad,Densidad,PEF,Zeff,Core,Seccion,Porosidad,Permeabilidad
4237.724492,2.3869681,5.0673704,15.695421,C001,T005,,
4237.726542,2.3885283,5.1029873,15.725987,C001,T005,,
4237.728593,2.3750587,5.2730312,15.869832,C001,T005,,
4237.730643,2.3625128,5.4154696,15.987767,C001,T005,,
4237.732694,2.346313,5.6591625,16.184445,C001,T005,,
4237.734744,2.3552227,5.7051988,16.22091,C001,T005,,
4237.736795,2.3404396,6.0164943,16.462065,C001,T005,,
4237.738845,2.3411398,6.1886344,16.591569,C001,T005,,
4237.740896,2.3303199,6.5030422,16.821539,C001,T005,,
4237.742946,2.3128841,6.8814797,17.087928,C001,T005,,
4237.744997,2.3271661,6.9054666,17.104452,C001,T005,,
4237.747047,2.3116484,7.2916446,17.364958,C001,T005,,
4237.749098,2.3068266,7.6044807,17.568778,C001,T005,,
4237.751148,2.3016784,7.9616218,17.794189,C001,T005,,
4237.753199,2.2906592,8.3412609,18.025931,C001,T005,,
4237.755249,2.2721031,8.8152885,18.30483,C001,T005,,
4237.7573,2.2764273,8.9672232,18.391926,C001,T005,,
4237.75935,2.2810702,9.0921574,18.462749,C001,T005,,
4237.761401,2.2700458,9.4548588,18.664454,C001,T005,,
4237.763451,2.2650979,9.7988253,18.850641,C001,T005,,
4237.765502,2.2646437,9.9887066,18.951407,C001,T005,,
4237.767553,2.2620633,10.335177,19.131763,C001,T005,,
4237.769603,2.2661033,10.46705,19.199261,C001,T005,,
4237.771654,2.2429473,11.142296,19.53558,C001,T005,,
4237.773704,2.2704036,10.879633,19.406553,C001,T005,,
4237.775755,2.2639074,11.252264,19.588947,C001,T005,,
4237.777805,2.2709277,11.325009,19.624043,C001,T005,,
4237.779856,2.2728641,11.568435,19.740314,C001,T005,,
4237.781906,2.2872689,11.631552,19.770173,C001,T005,,
4237.783957,2.3005104,11.585629,19.74846,C001,T005,,
4237.786007,2.3016522,11.862983,19.878664,C001,T005,,
4237.788058,2.3013334,12.16482,20.017887,C001,T005,,
4237.790108,2.2959154,12.542796,20.188755,C001,T005,,
4237.792159,2.2991529,12.765077,20.287509,C001,T005,,
4237.794209,2.3046501,12.915762,20.353751,C001,T005,,
4237.79626,2.3111279,12.951173,20.369236,C001,T005,,
4237.79831,2.314507,13.126801,20.445592,C001,T005,,
4237.800361,2.3256943,13.144538,20.453262,C001,T005,,
4237.802411,2.3422949,12.998341,20.389816,C001,T005,,
4237.804462,2.3594418,12.84655,20.323395,C001,T005,,
4237.806513,2.3252883,13.614569,20.653853,C001,T005,,
4237.808563,2.3513241,13.089384,20.429387,C001,T005,,
4237.810614,2.3587584,13.008098,20.394066,C001,T005,,
4237.812664,2.3822896,12.641446,20.232738,C001,T005,,
4237.814715,2.4027801,12.338842,20.097025,C001,T005,,
4237.816765,2.4094744,12.225402,20.04553,C001,T005,,
4237.818816,2.4122036,12.102325,19.989268,C001,T005,,
4237.820866,2.3905923,12.37131,20.111701,C001,T005,,
4237.822917,2.3738189,12.585347,20.207757,C001,T005,,
4237.824967,2.3718324,12.551063,20.19245,C001,T005,,
4237.827018,2.3887682,12.201389,20.034585,C001,T005,,
4237.829068,2.3839815,12.171712,20.021037,C001,T005,,
4237.831119,2.3811612,12.190937,20.029816,C001,T005,,
4237.833169,2.3600111,12.455866,20.14979,C001,T005,,
4237.83522,2.3497999,12.491705,20.165878,C001,T005,,
4237.83727,2.3626194,12.123544,19.998997,C001,T005,,
4237.839321,2.3421421,12.280264,20.070477,C001,T005,,
4237.841371,2.340009,12.249632,20.056558,C001,T005,,
4237.843422,2.3482897,12.055201,19.967617,C001,T005,,
4237.845472,2.3323956,12.33801,20.096649,C001,T005,,
4237.847523,2.3446891,12.036952,19.959216,C001,T005,,
4237.849574,2.3476434,11.933517,19.911426,C001,T005,,
4237.851624,2.3442793,12.001905,19.943057,C001,T005,,
4237.853675,2.3496091,11.931533,19.910506,C001,T005,,
4237.855725,2.3339753,12.272103,20.066771,C001,T005,,
4237.857776,2.3495109,11.982946,19.934301,C001,T005,,
4237.859826,2.3304245,12.314938,20.086203,C001,T005,,
4237.861877,2.3457024,11.987328,19.936325,C001,T005,,
4237.863927,2.3385162,12.111318,19.993393,C001,T005,,
4237.865978,2.3137465,12.512389,20.175148,C001,T005,,
4237.868028,2.333261,12.134873,20.004187,C001,T005,,
4237.870079,2.3155489,12.381248,20.116187,C001,T005,,
4237.872129,2.3098931,12.438117,20.141811,C001,T005,,
4237.87418,2.3300242,12.025311,19.953853,C001,T005,,
4237.87623,2.3199749,12.333359,20.094544,C001,T005,,
4237.878281,2.358366,11.668313,19.787509,C001,T005,,
4237.880331,2.3582594,11.600453,19.755476,C001,T005,,
4237.882382,2.3501122,11.573084,19.742517,C001,T005,,
4237.884432,2.3698297,11.175171,19.551573,C001,T005,,
4237.886483,2.3421545,11.715756,19.809825,C001,T005,,
4237.888534,2.3547201,11.522886,19.718693,C001,T005,,
4237.890584,2.3858986,10.96973,19.451062,C001,T005,,
4237.892635,2.3441379,11.759112,19.830162,C001,T005,,
4237.894685,2.330703,12.014126,19.948695,C001,T005,,
4237.896736,2.3184278,12.221101,20.043571,C001,T005,,
4237.898786,2.2846773,12.91431,20.353115,C001,T005,,
4237.900837,2.3000419,12.579179,20.205005,C001,T005,,
4237.902887,2.2904336,12.680439,20.250054,C001,T005,,
4237.904938,2.2914054,12.657909,20.240054,C001,T005,,
4237.906988,2.3067617,12.373758,20.112806,C001,T005,,
4237.909039,2.2810192,12.912198,20.352191,C001,T005,,
4237.911089,2.3390718,11.7026,19.803643,C001,T005,,
4237.91314,2.3342261,11.856597,19.875691,C001,T005,,
4237.91519,2.2942936,12.584565,20.207408,C001,T005,,
4237.917241,2.3328674,11.951078,19.91956,C001,T005,,
4237.919291,2.4516602,4.0891485,14.787611,C001,T005,,
4237.921342,2.5083616,3.7453046,14.431185,C001,T005,,
4237.923392,2.4743915,3.9397511,14.635515,C001,T005,,
4237.925443,2.4278321,4.2649589,14.961542,C001,T005,,
4237.927493,2.4886699,3.8164642,14.506831,C001,T005,,
4237.929544,2.4334269,4.2183566,14.91595,C001,T005,,
4237.931595,2.4466932,4.1293812,14.827883,C001,T005,,
4237.933645,2.4723768,3.9585938,14.654925,C001,T005,,
4237.935696,2.5087128,3.7025235,14.385205,C001,T005,,
4237.937746,2.4357955,4.1821628,14.880289,C001,T005,,
4237.939797,2.4507182,4.0989776,14.797476,C001,T005,,
4237.941847,2.4299879,4.2397866,14.93696,C001,T005,,
4237.943898,2.4415963,4.147933,14.846358,C001,T005,,
4237.945948,2.4456458,4.1058321,14.804346,C001,T005,,
4237.947999,2.4553404,4.0551748,14.753381,C001,T005,,
4237.950049,2.4534442,4.0515218,14.749688,C001,T005,,
4237.9521,2.457386,4.0470815,14.745196,C001,T005,,
4237.95415,2.4484103,4.057548,14.755779,C001,T005,,
4237.956201,2.447974,4.0779219,14.776323,C001,T005,,
4237.958251,2.440114,4.1337042,14.832194,C001,T005,,
4237.960302,2.4691691,3.9293613,14.624783,C001,T005,,
4237.962352,2.4209802,4.186522,14.884596,C001,T005,,
4237.964403,2.4326756,4.0823512,14.780779,C001,T005,,
4237.966453,2.4350498,4.0694895,14.767829,C001,T005,,
4237.968504,2.4222915,4.1370339,14.835511,C001,T005,,
4237.970555,2.4146044,4.1698189,14.868076,C001,T005,,
4237.972605,2.4649611,3.8013511,14.490851,C001,T005,,
4237.974656,2.4402006,3.933491,14.629051,C001,T005,,
4237.976706,2.4746168,3.7036555,14.386427,C001,T005,,
4237.978757,2.4306169,3.9420271,14.637863,C001,T005,,
4237.980807,2.434437,3.8909779,14.584959,C001,T005,,
4237.982858,2.4560165,3.7380137,14.423376,C001,T005,,
4237.984908,2.4310167,3.8656268,14.558501,C001,T005,,
4237.986959,2.4589207,3.65259,14.331051,C001,T005,,
4237.989009,2.4627905,3.6312551,14.307749,C001,T005,,
4237.99106,2.4628124,3.6126199,14.287315,C001,T005,,
4237.99311,2.4632058,3.5920551,14.264677,C001,T005,,
